"plant_number","leaf_sample","species","la","sla","ldmc","ssd","rtd","srl","seed_mass"
12,2,"anfl",56.313,21.1543951915853,0.354602371120288,0.353883495145631,26.7405764966741,37.9790215588723,0.0136
12,3,"anfl",79.167,16.677269854645,0.335595616825733,0.353883495145631,26.7405764966741,37.9790215588723,0.0136
13,1,"ansu",69.992,15.2654307524537,0.399564270152505,0.370520446096654,32.1556886227545,43.9446927374302,0.007266
13,2,"ansu",70.881,14.733111619206,0.407021996615905,0.370520446096654,32.1556886227545,43.9446927374302,0.007266
13,3,"ansu",72.835,16.2324492979719,0.388518486449043,0.370520446096654,32.1556886227545,43.9446927374302,0.007266
14,1,"ansu",44.982,14.6092887301072,0.346617133851176,0.386171079429735,33.7121212121212,28.4925842696629,0.007266
14,2,"ansu",50.123,12.5968836391053,0.390442547345697,0.386171079429735,33.7121212121212,28.4925842696629,0.007266
14,3,"ansu",37.873,14.1581308411215,0.365887019559568,0.386171079429735,33.7121212121212,28.4925842696629,0.007266
15,1,"ansu",54.721,15.6256424900057,0.380073800738007,0.371231101511879,31.4223194748359,18.883704735376,0.007266
15,2,"ansu",86.779,15.4164149937822,0.36046362704918,0.371231101511879,31.4223194748359,18.883704735376,0.007266
15,3,"ansu",83.579,17.6029907329402,0.329813837176994,0.371231101511879,31.4223194748359,18.883704735376,0.007266
16,1,"ansu",84.448,15.960687960688,0.39140405385412,0.407128205128205,29.8333333333333,19.7461824953445,0.007266
16,2,"ansu",87.66,16.7802450229709,0.37221232632704,0.407128205128205,29.8333333333333,19.7461824953445,0.007266
16,3,"ansu",92.829,16.0965840124848,0.374991872033292,0.407128205128205,29.8333333333333,19.7461824953445,0.007266
17,1,"coci",70.954,13.9262021589794,0.320904452982301,0.383018372703412,31.8162393162393,26.9675621222297,0.00745
17,2,"coci",30.301,16.6397583745195,0.323733333333333,0.383018372703412,31.8162393162393,26.9675621222297,0.00745
17,3,"coci",58.264,12.1967762193846,0.347974941724942,0.383018372703412,31.8162393162393,26.9675621222297,0.00745
18,1,"coci",53.95,13.0819592628516,0.35845284658844,0.370212765957447,25.4657293497364,38.0513457556936,0.00745
18,2,"coci",62.224,17.1321585903084,0.292572901562752,0.370212765957447,25.4657293497364,38.0513457556936,0.00745
18,3,"coci",28.042,17.8725302740599,0.321187308085978,0.370212765957447,25.4657293497364,38.0513457556936,0.00745
19,1,"coci",71.201,12.955058224163,0.317028149515459,0.369040404040404,22.3139158576052,38.2266134880348,0.00745
19,2,"coci",83.282,12.9965667915106,0.312768449824287,0.369040404040404,22.3139158576052,38.2266134880348,0.00745
19,3,"coci",55.142,12.116457921336,0.331319161327898,0.369040404040404,22.3139158576052,38.2266134880348,0.00745
20,1,"coci",94.111,12.2126914092915,0.326456259267104,0.392163009404389,21.6044776119403,28.7832469775475,0.00745
20,2,"coci",93.611,11.6489547038328,0.331422444013692,0.392163009404389,21.6044776119403,28.7832469775475,0.00745
20,3,"coci",98.884,14.7985633043999,0.324180089268387,0.392163009404389,21.6044776119403,28.7832469775475,0.00745
21,1,"coin",29.804,9.9645603477098,0.375989943431804,0.392549019607843,23.3980582524272,32.6430152143845,0.0046304
21,2,"coin",35.802,12.7590876692801,0.367566151427823,0.392549019607843,23.3980582524272,32.6430152143845,0.0046304
